x,y,t
-0.6200919357820164,0.21547084746447331,3.1
-0.620044218343313,0.21543313395286057,3.125
-0.6170031773946176,0.2130393408276714,3.15
-0.6109620930180485,0.20834014823599556,3.175
-0.6019058211059723,0.20143291921170126,3.2
-0.5898136370525964,0.19246060557593336,3.225
-0.5746633095349137,0.1816100680761158,3.25
-0.5564362530654476,0.16910969660581243,3.275
-0.5351235593214801,0.15522619816952754,3.3
-0.5107204428542562,0.14025315979019015,3.325
-0.4832290008968707,0.12450600647850696,3.35
-0.45268982889125514,0.10833194583499506,3.375
-0.4191752837590272,0.09209467372113134,3.4
-0.38279512049092185,0.07616673813488362,3.425
-0.3437014047217603,0.06092101269792605,3.45
-0.30209222293410326,0.04672129529568736,3.475
-0.2582139191320734,0.033912233818037096,3.5
-0.21236163950194123,0.02280885489682849,3.525
-0.1648779496701768,0.013686022753120142,3.55
-0.11612868841054488,0.006765824325377645,3.575
-0.06651380030375703,0.0022144948090536687,3.6
-0.01646065581034586,0.00013548577305066978,3.625
0.03360044695647563,0.000564654435153078,3.65
0.08324423361842484,0.003470824526807359,3.675
0.1320581922513612,0.008758034655865443,3.7
0.17964972776330898,0.0162693583533301,3.725
0.22565240264375522,0.025792120140110675,3.75
0.26973099019219676,0.03706428411345286,3.775
0.31158513107868974,0.04978175870451962,3.8
0.35095145414715206,0.0636063451560559,3.825
0.38760671744715813,0.07817516165497096,3.85
0.42141557639505267,0.09313236248522705,3.875
0.4522711479858254,0.10811950985595409,3.9
0.4800924440754579,0.12278209939510853,3.925
0.5048333921491132,0.13678319862781874,3.95
0.5264765484588831,0.14981034826174144,3.975
0.5450266176068248,0.16158125849903382,4.0
0.5605041051074068,0.1718483543711664,4.025
0.572939395355159,0.1804022637597974,4.05
0.5823675056933315,0.18707436483247286,4.075
0.5888240848283868,0.1917387816268723,4.1
0.5923428754785741,0.19431400789775766,4.125
0.5929355023842426,0.19475004500941084,4.15
0.5906027962682927,0.19303758635232993,4.175
0.5853388707322377,0.18921124427511404,4.2
0.5771320864151183,0.18334918427143387,4.225
0.5659672093895185,0.17557224822557016,4.25
0.5518286860340313,0.16604250631704587,4.275
0.5347049123788905,0.15496115078779782,4.3
0.5145933317383834,0.14256562762483682,4.325
0.4915061512909425,0.129125897018883,4.35
0.46547642783864535,0.11493972232023975,4.375
0.43655832368288927,0.10032404165544928,4.4
0.40481685432387726,0.08560221213340591,4.425
0.3703643601330143,0.07111344032585831,4.45
0.3333497878312456,0.05719677612300056,4.475
0.29395978566923175,0.04418221171119685,4.5
0.25242056125062223,0.03238237910943309,4.525
0.20899836527231547,0.022084010094169826,4.55
0.16399850493708276,0.01353941265836589,4.575
0.11776285813966603,0.006958254028171851,4.6
0.07066593644102659,0.0024999621920244186,4.625
0.02310906971702413,0.0002670502095003524,4.65
-0.024519790649749785,0.00030065526354750016,4.675
-0.07182464920552159,0.0025827253518697635,4.7
-0.11840804821274846,0.007034978401329828,4.725
-0.16389524123049679,0.013522250680737757,4.75
-0.20793970528060315,0.021858354343392672,4.775
-0.25022747551122093,0.031812925876780085,4.8
-0.2904801501325605,0.04311898212005216,4.825
-0.3284564891150398,0.05548089762132302,4.85
-0.3639526023005776,0.06858253007653026,4.875
-0.3968007877290332,0.08209524739348983,4.9
-0.4268671365581623,0.09568564772716603,4.925
-0.45405917771965676,0.10902847232442425,4.95
-0.4783385133851353,0.12182446708388717,4.975
-0.49966798327840806,0.13378299111222214,5.0
-0.5180311460236765,0.14463824509778533,5.025
-0.5334286795516487,0.15415495282422775,5.05
-0.545873049468476,0.16213210237890918,5.075
-0.5553837145757435,0.16840579031353942,5.1
-0.5619830692519161,0.17285126496246384,5.125
-0.5656932802919126,0.17538426365210835,5.15
-0.5665341324517297,0.17596172615153005,5.175
-0.5645219516442919,0.1745819446415533,5.2
